id,name,city,country,address,category,importance,website,exhibitions_url,title,start_date,end_date,artists,curators,status,image_url,source_url,crawler,scraped_at,updated_at
berlinische-galerie-207-m-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,207 m,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
berlinische-galerie-207-m2-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,207 m²,,,[],[],current,https://berlinischegalerie.de/assets/_processed_/f/a/csm_Projektraum_207qm_Pascal-Roh%C3%A9_Berlinische-Galerie_02_fd5fbd163f.jpg,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
berlinische-galerie-activities-on-site-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Activities on-site,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
berlinische-galerie-archive-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Archive,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
berlinische-galerie-art-in-berlin-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Art in Berlin,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
berlinische-galerie-calendar-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Calendar,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
berlinische-galerie-current-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Current,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
berlinische-galerie-digital-programme-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Digital Programme,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
berlinische-galerie-education-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Education,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
berlinische-galerie-emilio-vedova-unknown,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Emilio Vedova,,,[],[],current,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00
