exhibition_id,exhibition_title,institution,city,country,category,importance,title,start_date,end_date,artists,curators,status,image_url,source_url,exhibitions_url,website,crawler,scraped_at,updated_at,fetch_status,error_detail,pulse_label,score,reason,human_review_status
hamburger-bahnhof-hamburger-bahnhof-nationalgalerie-der-gegenwart-materialisti-unknown,"Hamburger Bahnhof – Nationalgalerie der Gegenwart [ materialistin ] Matter of Care, Care of Matter",Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,"Hamburger Bahnhof – Nationalgalerie der Gegenwart [ materialistin ] Matter of Care, Care of Matter",,,"[""Hamburger Bahnhof""]",[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.869,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=590.",pending
hamburger-bahnhof-hamburger-bahnhof-nationalgalerie-der-gegenwart-a-thousand-t-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart A Thousand Times Berlin The Collection Hamburger Bahnhof – Nationalgalerie der Gegenwart,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Hamburger Bahnhof – Nationalgalerie der Gegenwart A Thousand Times Berlin The Collection Hamburger Bahnhof – Nationalgalerie der Gegenwart,,,"[""Hamburger Bahnhof""]",[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.869,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=593.",pending
hamburger-bahnhof-hamburger-bahnhof-nationalgalerie-der-gegenwart-chanel-commi-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart CHANEL Commission: Lina Lapelytė. We Make Years Out of Hours,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Hamburger Bahnhof – Nationalgalerie der Gegenwart CHANEL Commission: Lina Lapelytė. We Make Years Out of Hours,,,"[""Hamburger Bahnhof""]",[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.869,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=591.",pending
hamburger-bahnhof-hamburger-bahnhof-nationalgalerie-der-gegenwart-unknown,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Hamburger Bahnhof – Nationalgalerie der Gegenwart,,,"[""Hamburger Bahnhof""]",[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.868,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=581.",pending
neue-nationalgalerie-neue-nationalgalerie-gilbert-baker-rainbow-flag-unknown,Neue Nationalgalerie Gilbert Baker: Rainbow Flag,Neue Nationalgalerie,Berlin,Germany,museum,global,Neue Nationalgalerie Gilbert Baker: Rainbow Flag,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.868,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=564.",pending
neue-nationalgalerie-neue-nationalgalerie-glenn-ligon-double-america-unknown,Neue Nationalgalerie Glenn Ligon: Double America,Neue Nationalgalerie,Berlin,Germany,museum,global,Neue Nationalgalerie Glenn Ligon: Double America,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.868,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=564.",pending
neue-nationalgalerie-neue-nationalgalerie-fujiko-nakaya-fog-sculpture-in-the-scul-unknown,Neue Nationalgalerie Fujiko Nakaya: Fog Sculpture in the Sculpture Garden of the Neue Nationalgalerie,Neue Nationalgalerie,Berlin,Germany,museum,global,Neue Nationalgalerie Fujiko Nakaya: Fog Sculpture in the Sculpture Garden of the Neue Nationalgalerie,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.868,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=572.",pending
neue-nationalgalerie-neue-nationalgalerie-ruin-and-rush-berlin-19101930-unknown,Neue Nationalgalerie Ruin and Rush Berlin 1910–1930,Neue Nationalgalerie,Berlin,Germany,museum,global,Neue Nationalgalerie Ruin and Rush Berlin 1910–1930,,,[],[],current,,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.868,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=565.",pending
hamburger-bahnhof-exhibitions-unknown,Exhibitions,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Exhibitions,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=575.",pending
hamburger-bahnhof-events-unknown,Events,Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,global,Events,,,[],[],current,,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,html,2026-08-23T15:53:36.898514+00:00,2026-08-23T15:53:36.898514+00:00,ok,,Buzz,0.867,"Heuristic pulse: trust_level=global, source_type=museum, approx_words=575.",pending
