city,source_name,source_url,source_type,trust_level,access_method,status,last_checked,notes
Berlin,Hamburger Bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,museum,high,web,active,2026-07-02T02:54:30.125692+00:00,Official current exhibitions page
Berlin,Neue Nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,museum,high,web,active,2026-07-02T02:54:30.125692+00:00,Official current exhibitions page
Berlin,Berlinische Galerie,https://berlinischegalerie.de/en/exhibitions/,museum,high,web,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page
Berlin,KW Institute for Contemporary Art,https://www.kw-berlin.de/en/exhibitions/,museum,high,web,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page
Berlin,Gropius Bau,https://www.berlinerfestspiele.de/en/gropius-bau/program,museum,high,web,active,2026-07-02T02:54:30.125692+00:00,Official programme page
Berlin,Schinkel Pavillon,https://www.schinkelpavillon.de/,project_space,high,web,active,2026-07-02T02:54:30.125692+00:00,Official website; verify exhibition extraction
Berlin,Fluentum,https://www.fluentum.org/en/exhibitions/,project_space,high,web,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page
Berlin,KINDL – Centre for Contemporary Art,https://www.kindl-berlin.com/en/exhibitions/,project_space,high,web,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page
Berlin,Savvy Contemporary,https://savvy-contemporary.com/en/projects/,project_space,high,web,active,2026-07-02T02:54:30.125692+00:00,Official projects page
Berlin,Bärenzwinger Berlin,https://www.baerenzwinger.berlin/,project_space,medium,web,active,2026-07-02T02:54:30.125692+00:00,Official website; verify current programme URL
Berlin,Galerie Eigen + Art Berlin,https://eigen-art.com/en/exhibitions/,gallery,high,web,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page
Berlin,Sprüth Magers Berlin,https://spruethmagers.com/exhibitions/,gallery,high,web,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page
Berlin,KOW,https://kow-berlin.com/exhibitions,gallery,high,web,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page
Berlin,Esther Schipper,https://www.estherschipper.com/exhibitions,gallery,high,web,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page
Berlin,neugerriemschneider,https://neugerriemschneider.com/exhibitions/,gallery,high,web,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page
Seoul,"National Museum of Modern and Contemporary Art, Korea",https://www.mmca.go.kr/eng/exhibitions/exhibitionsList.do,museum,high,playwright,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions page; likely dynamic
Seoul,Leeum Museum of Art,https://www.leeumhoam.org/leeum/exhibition/now,museum,high,playwright,active,2026-07-02T02:54:30.125692+00:00,Official exhibition page; likely dynamic
Seoul,Seoul Museum of Art,https://sema.seoul.go.kr/en/whatson/landing,museum,high,playwright,active,2026-07-02T02:54:30.125692+00:00,Official exhibitions & programs page
