id,name,city,country,address,category,importance,website,exhibitions_url,title,start_date,end_date,artists,curators,status,image_url,source_url,crawler,scraped_at,updated_at
berlinische-galerie-provenances-2025,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Provenances,2025-03-07,2025-10-13,[],[],past,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-atelier-le-balto-2025,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,atelier le balto,2025-04-24,2025-10-31,[],[],past,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-monira-al-qadiri-2025,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Monira Al Qadiri,2025-07-11,2026-08-17,[],[],past,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-staging-the-self-2025,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Staging the Self,2025-07-11,2025-10-13,[],[],past,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-brigitte-meier-denninghoff-2025,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Brigitte Meier-Denninghoff,2025-09-05,2026-08-03,[],[],past,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-3hd-2025-vertigo-2025,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,3hd 2025: Vertigo,2025-10-01,2025-11-03,[],[],past,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-politics-of-care-care-as-resistance-2025,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Politics of Care. Care as Resistance,2025-11-05,2026-02-23,[],[],past,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-raoul-hausmann-2025,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Raoul Hausmann,2025-11-08,2026-03-16,[],[],past,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-stephanie-comilang-2026,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Stephanie Comilang,2026-02-25,2026-06-01,[],[],past,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-josef-kaiser-2026,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Josef Kaiser,2026-08-28,2027-02-01,[],[],upcoming,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-su-yu-hsin-2026,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Su Yu Hsin,2026-09-09,2026-10-26,[],[],upcoming,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-jeewi-lee-2026,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Jeewi Lee,2026-09-11,2027-04-05,[],[],upcoming,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-lovis-corinth-2026,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Lovis Corinth,2026-10-09,2027-01-25,[],[],upcoming,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-rolf-von-bergmann-2027,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Rolf von Bergmann,2027-02-26,2027-09-13,[],[],upcoming,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
berlinische-galerie-anna-eva-bergman-2027,Berlinische Galerie,Berlin,Germany,"Alte Jakobstraße 124-128, 10969 Berlin",museum,national,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,Anna-Eva Bergman,2027-03-19,2027-08-02,[],[],upcoming,,https://berlinischegalerie.de/en/exhibitions/,html,2026-08-23T19:31:28.911883+00:00,2026-08-23T19:31:28.911883+00:00
