name,city,country,category,website,exhibitions_url,crawler,last_successful_crawl,exhibition_count,named_exhibition_count,dated_exhibition_count,tier,reason
Hamburger Bahnhof – Nationalgalerie der Gegenwart,Berlin,Germany,museum,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof,https://www.smb.museum/en/museums-institutions/hamburger-bahnhof/exhibitions/current/,html,2026-07-02T04:06:10.546235+00:00,15,13,0,reliable,html_ok_parsed
Neue Nationalgalerie,Berlin,Germany,museum,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie,https://www.smb.museum/en/museums-institutions/neue-nationalgalerie/exhibitions/current/,html,2026-07-02T04:06:11.322078+00:00,15,13,0,reliable,html_ok_parsed
Berlinische Galerie,Berlin,Germany,museum,https://berlinischegalerie.de,https://berlinischegalerie.de/en/exhibitions/,html,2026-07-02T04:06:12.487443+00:00,14,14,0,reliable,html_ok_parsed
Savvy Contemporary,Berlin,Germany,non_profit,https://savvy-contemporary.com,https://savvy-contemporary.com/en/projects/,html,2026-07-02T04:06:14.131287+00:00,1,1,0,reliable,html_ok_parsed
Whitney Museum of American Art,New York,United States,museum,https://whitney.org,https://whitney.org/exhibitions,html,2026-07-02T04:06:15.069585+00:00,15,15,0,reliable,html_ok_parsed
Artists Space,New York,United States,non_profit,https://artistsspace.org,https://artistsspace.org/exhibitions,html,2026-07-02T04:06:16.270898+00:00,8,7,6,reliable,html_ok_parsed
White Columns,New York,United States,non_profit,https://www.whitecolumns.org,https://www.whitecolumns.org/exhibitions,html,2026-07-02T04:06:18.330704+00:00,15,15,1,reliable,html_ok_parsed
Swiss Institute,New York,United States,non_profit,https://swissinstitute.net,https://swissinstitute.net/exhibitions,html,2026-07-02T04:06:19.349169+00:00,12,9,0,reliable,html_ok_parsed
Whitechapel Gallery,London,United Kingdom,museum,https://www.whitechapelgallery.org,https://www.whitechapelgallery.org/exhibitions/,html,2026-07-02T04:06:20.534221+00:00,15,14,0,reliable,html_ok_parsed
The Photographers' Gallery,London,United Kingdom,museum,https://thephotographersgallery.org.uk,https://thephotographersgallery.org.uk/whats-on/,html,2026-07-02T04:06:21.576243+00:00,15,14,0,reliable,html_ok_parsed
Serpentine Galleries,London,United Kingdom,kunsthalle,https://www.serpentinegalleries.org,https://www.serpentinegalleries.org/whats-on/,html,2026-07-02T04:06:23.865315+00:00,15,12,0,reliable,html_ok_parsed
Institute of Contemporary Arts (ICA London),London,United Kingdom,kunsthalle,https://www.ica.art,https://www.ica.art/whats-on/,html,2026-07-02T04:06:25.466852+00:00,5,3,0,reliable,html_ok_parsed
La Biennale di Venezia,Venice,Italy,biennale,https://www.labiennale.org,https://www.labiennale.org/en/art,html,2026-07-02T04:06:27.309780+00:00,6,6,0,reliable,html_ok_parsed
Peggy Guggenheim Collection,Venice,Italy,museum,https://www.guggenheim-venice.it,https://www.guggenheim-venice.it/en/art/exhibitions,html,2026-07-02T04:06:29.028814+00:00,9,8,0,reliable,html_ok_parsed
M+,Hong Kong,Hong Kong,museum,https://www.mplus.org.hk,https://www.mplus.org.hk/en/exhibitions/,html,2026-07-02T04:06:29.513115+00:00,15,15,0,reliable,html_ok_parsed
Para Site,Hong Kong,Hong Kong,non_profit,https://www.para-site.art,https://www.para-site.art/programmes/,html,2026-07-02T04:06:29.984145+00:00,15,13,0,reliable,html_ok_parsed
